,,What does the arrow in Figure 6 represent?,"The arrow in Figure 6 represents the strength of correlation between the two influencing factors The wider the arrow, the stronger the correlation between the two factors",,,
,,What is the main factor of multi-dimensional water management strategies for sustainable fisheries?,,,,
,,How can freshwater fisheries meet the demands of a growing population for fish in the context of climate change?,,,,
,,What was the focus of the policy orientation for land use transformation?,The policy orientation for land use transformation was to comprehensively consider the coordinated development of food security and water security policies,,,
,,What is the priority area for FAOâ€™s new strategic framework?,"The priority area for FAOâ€™s new strategic framework is the blue transition, aimed at accelerating the achievement of the 2030 Sustainable Development Goals",,,
,,What are some measures used to reduce the input of exogenous nutrients?,"Measures to reduce the input of exogenous nutrients include water saving and fertilizer saving, irrigation district water regulation control, ecological restoration, and green agriculture",,,
,,What is the purpose of the blue transformation with regards to fisheries management?,The purpose of the blue transformation with regards to fisheries management is to strengthen the cooperative management among various departments and deepen the lake chief system and the river chief system,,,
,,What was developed to explore climate and land use changes on fish catch?,An integrated Bayesian Modeling combined with Remote Sensing was developed to explore how climate and land use change effect on fish catch,,,
,,What is the key driver contributing to the change of lake fish catch in high-latitudes agricultural area?,Air temperatures and agricultural land use are the key drivers contributing to the change of lake fish catch in high-latitudes agricultural area,,,
,,"What is the aim of Collective action for water quality management in agriculture, as studied by Amblard 2019?","The aim of Collective action for water quality management in agriculture, as studied by Amblard 2019, is to protect drinking water sources in France",,,
,,What did AvadÃ­ et al 2015 analyze in their study regarding Peruvian freshwater aquaculture?,AvadÃ­ et al 2015 analyzed the comparative environmental performance of artisanal and commercial feed use in Peruvian freshwater aquaculture,,,
,,What did Basurto et al 2013 propose in their study?,Basurto et al 2013 proposed the social-ecological system framework as a knowledge classificatory system for benthic small-scale fisheries,,,
,,Who conducted the Arctic freshwater fish productivity and colonization study?,"Campana, SE, Casselman, JM, Jones, CM, et al conducted the Arctic freshwater fish productivity and colonization study",,,
,,What was the publication date of the study?,The study was published on Nat Clim Change 10 in 2020,,,
,,Who was responsible for the water-saving innovations in Chinese agriculture?,"Chai, Q, Gan, Y, Turner, NC, et al was responsible for the water-saving innovations in Chinese agriculture",,,
,,In which journal was the study published?,The study was published in the journal Adv Agron 126 in 2014,,,
,,What is the signature of ocean warming in global fisheries catch?,"Cheung, Watson, Pauly 2013 found a signature of ocean warming in global fisheries catch, which included a shift in the timing of when species migrated and reproduced, as well as a decrease in the amount of fish harvested",,,
,,What are the benefits to marine fisheries of meeting the 15 Celsius global warming target?,"Cheung, Reygondeau, and FrÂ¨olicher 2016 found that meeting the 15 Celsius global warming target will result in large benefits to marine fisheries, such as an increase in the productivity of fisheries, improved habitat conditions, and an increase in the abundance of fish populations",,,
,,How do China and India lead in greening of the world?,Chi et al 2019 found that China and India,,,
,,What are the main highlights of Deutsch et al's 2008 study?,Deutsch et al's 2008 study explored the impacts of climate warming on terrestrial ectotherms across latitude,,,
,,What was the goal of Downing et al's 2021 study?,Downing et al's 2021 study aimed to demonstrate the global benefits of protecting local water quality,,,
,,What did Falardeau et al's 2022 study examine?,Falardeau et al's 2022 study studied biophysical indicators and Indigenous and Local Knowledge to reveal climatic and ecological shifts with implications for Arctic Char fisheries,,,
,,What did Fan et al's 2020 study assess?,Fan et al's 2020 study evaluated an alternative comprehensive index to,,,
,,What is the purpose of detecting surface water temperature variations of Mongolian lakes?,The purpose of detecting surface water temperature variations of Mongolian lakes is to benefit from the spatially and temporally gap-filled MODIS data,,,
,,"What is the goal of Connecting microbial, nutrient, physiochemical, and land use factors for the evaluation of water quality within mixed use watersheds?","The goal of Connecting microbial, nutrient, physiochemical, and land use factors for the evaluation of water quality within mixed use watersheds is to advance the Sustainable Development Goals and ensure climate adaptation",,,
,,What did Golden et al 2016 find concerning nutrition and fish catch?,Golden et al 2016 found that a fall in fish catch threatens human health,,,
,,What did Gownaris et al 2017 study concerning fisheries and water levels?,Gownaris et al 2017 studied the effects of water level fluctuations on fisheries in the world's largest desert lake,,,
,,What has been observed in relation to lacustrine algal blooms over the past decade?,"Globally, an increase in lacustrine algal blooms has been observed over the past decade",,,
